 Desplazamiento Bala, Velocidad Bala, Estatus, -196 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -180 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -165 -455 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -150 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -135 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -120 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -105 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -89 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -74 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -59 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -44 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -29 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -14 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 2 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 17 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 32 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 47 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 50 -455 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -650 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -634 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -617 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -601 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -584 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -568 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -551 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -535 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -518 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -502 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -485 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -469 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -452 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -436 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -419 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -403 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -386 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -370 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -353 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -337 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -320 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -304 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -287 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -271 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -254 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -238 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -221 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -205 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -188 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -172 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -155 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -139 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -122 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -106 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -89 -495 1,0
 Desplazamiento Bala, Velocidad Bala, Estatus, -73 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -56 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -40 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -23 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, -7 -495 0,1
 Desplazamiento Bala, Velocidad Bala, Estatus, 10 -495 0,1
